Kudos Date,Kudos Type,Parent ID
"Aug 11, 2020, 12:12:00 AM",Activity,3894793800
"Aug 12, 2020, 12:57:42 AM",Activity,3900056768
"Aug 13, 2020, 3:12:40 AM",Activity,3904995765
"Aug 13, 2020, 3:12:48 AM",Activity,3904967052
"Aug 13, 2020, 2:35:28 PM",Activity,3907114038
"Aug 13, 2020, 5:18:59 PM",Activity,3907823133
"Aug 14, 2020, 2:24:28 AM",Activity,3909521837
"Aug 14, 2020, 4:42:17 PM",Activity,3912483153
"Aug 15, 2020, 2:12:18 AM",Activity,3914009267
"Aug 15, 2020, 2:12:34 AM",Activity,3913896173
"Aug 15, 2020, 3:10:26 AM",Activity,3913479768
"Aug 15, 2020, 3:37:57 PM",Activity,3916468291
"Aug 15, 2020, 6:19:10 PM",Activity,3917148690
"Aug 16, 2020, 12:03:15 AM",Activity,3918792341
"Aug 17, 2020, 2:45:46 AM",Activity,3924183888
"Aug 18, 2020, 11:38:13 PM",Activity,3933401511
"Aug 19, 2020, 12:57:13 PM",Activity,3935429089
"Aug 19, 2020, 12:57:16 PM",Activity,3935444979
"Aug 20, 2020, 12:33:01 AM",Activity,3938296010
"Aug 20, 2020, 12:33:03 AM",Activity,3938287662
"Aug 21, 2020, 2:38:55 PM",Activity,3945352237
"Aug 22, 2020, 12:55:41 AM",Activity,3947124604
"Aug 23, 2020, 3:54:47 AM",Activity,3951808109
"Aug 23, 2020, 3:54:54 AM",Activity,3950380606
"Aug 24, 2020, 11:02:16 PM",Activity,3954143408
"Aug 25, 2020, 5:49:49 PM",Activity,3963136901
"Aug 25, 2020, 5:49:51 PM",Activity,3961890841
"Aug 25, 2020, 5:49:55 PM",Activity,3960770993
"Aug 26, 2020, 7:16:42 PM",Activity,3969231475
"Aug 26, 2020, 7:17:36 PM",Activity,3968076518
"Aug 26, 2020, 7:18:10 PM",Activity,3969417951
"Aug 26, 2020, 9:10:28 PM",Activity,3970286129
"Aug 27, 2020, 2:20:31 PM",Activity,3973152971
"Aug 27, 2020, 11:08:10 PM",Activity,3974934829
"Aug 27, 2020, 11:08:13 PM",Activity,3974951371
"Aug 27, 2020, 11:08:16 PM",Activity,3974812439
"Aug 29, 2020, 12:43:08 AM",Activity,3978261579
"Aug 29, 2020, 12:43:09 AM",Activity,3978867997
"Aug 29, 2020, 12:43:11 AM",Activity,3979024489
"Aug 29, 2020, 12:43:12 AM",Activity,3979078830
"Aug 29, 2020, 12:43:14 AM",Activity,3978865515
"Aug 29, 2020, 12:43:15 AM",Activity,3979028232
"Aug 29, 2020, 12:43:19 AM",Activity,3979024093
"Aug 29, 2020, 12:43:31 AM",Activity,3979462422
"Aug 29, 2020, 12:43:40 AM",Activity,3979543522
"Aug 29, 2020, 5:07:37 PM",Activity,3982394206
"Aug 29, 2020, 5:07:41 PM",Activity,3982314106
"Aug 30, 2020, 1:26:36 AM",Activity,3983732232
"Aug 30, 2020, 6:40:04 PM",Activity,3987217991
"Aug 30, 2020, 6:40:16 PM",Activity,3986448201
"Aug 30, 2020, 6:40:17 PM",Activity,3987376256
"Aug 30, 2020, 10:23:42 PM",Activity,3988983450
"Aug 30, 2020, 10:23:50 PM",Activity,3988819102
